Table ID: network_timeseries,,,,,,,
TIMESTAMP,RX BYTES PER NS,TX BYTES PER NS,RX DROP PER NS,TX DROPS PER NS,RX ERRORS PER NS,TX ERRORS PER NS ,TIME
2023-03-29 18:28:50 +0000 UTC,654 B/sec,227 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:50 +0000 UTC
2023-03-29 18:29:40 +0000 UTC,918 B/sec,203 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:40 +0000 UTC
2023-03-29 18:32:00 +0000 UTC,805 B/sec,167 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:00 +0000 UTC
2023-03-29 18:30:50 +0000 UTC,884 B/sec,214 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:50 +0000 UTC
2023-03-29 18:31:40 +0000 UTC,521 B/sec,146 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:40 +0000 UTC
2023-03-29 18:29:10 +0000 UTC,1.7 KiB/sec,635 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:10 +0000 UTC
2023-03-29 18:31:50 +0000 UTC,1.5 KiB/sec,456 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:50 +0000 UTC
2023-03-29 18:30:40 +0000 UTC,699 B/sec,216 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:40 +0000 UTC
2023-03-29 18:30:00 +0000 UTC,380 B/sec,106 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:00 +0000 UTC
2023-03-29 18:31:00 +0000 UTC,765 B/sec,257 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:00 +0000 UTC
2023-03-29 18:29:50 +0000 UTC,891 B/sec,211 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:50 +0000 UTC
2023-03-29 18:28:10 +0000 UTC,1.3 KiB/sec,406 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:10 +0000 UTC
2023-03-29 18:32:10 +0000 UTC,1.2 KiB/sec,346 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:10 +0000 UTC
2023-03-29 18:32:30 +0000 UTC,640 B/sec,156 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:30 +0000 UTC
2023-03-29 18:30:10 +0000 UTC,959 B/sec,288 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:10 +0000 UTC
2023-03-29 18:29:20 +0000 UTC,310 B/sec,79.0 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:20 +0000 UTC
2023-03-29 18:27:50 +0000 UTC,547 B/sec,154 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:27:50 +0000 UTC
2023-03-29 18:31:10 +0000 UTC,720 B/sec,226 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:10 +0000 UTC
2023-03-29 18:29:30 +0000 UTC,624 B/sec,121 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:30 +0000 UTC
2023-03-29 18:28:40 +0000 UTC,283 B/sec,58.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:40 +0000 UTC
2023-03-29 18:32:40 +0000 UTC,579 B/sec,112 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:40 +0000 UTC
2023-03-29 18:28:20 +0000 UTC,712 B/sec,244 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:20 +0000 UTC
2023-03-29 18:31:20 +0000 UTC,591 B/sec,146 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:20 +0000 UTC
2023-03-29 18:32:20 +0000 UTC,862 B/sec,263 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:20 +0000 UTC
2023-03-29 18:30:20 +0000 UTC,1009 B/sec,282 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:20 +0000 UTC
2023-03-29 18:32:50 +0000 UTC,0 B/sec,0 B/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:32:50 +0000 UTC
2023-03-29 18:28:00 +0000 UTC,664 B/sec,167 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:00 +0000 UTC
2023-03-29 18:29:00 +0000 UTC,505 B/sec,107 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:29:00 +0000 UTC
2023-03-29 18:28:30 +0000 UTC,657 B/sec,151 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:28:30 +0000 UTC
2023-03-29 18:30:30 +0000 UTC,442 B/sec,93.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:30:30 +0000 UTC
2023-03-29 18:31:30 +0000 UTC,442 B/sec,87.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-03-29 18:31:30 +0000 UTC