table_id,node,actual_disk_read_throughput,actual_disk_write_throughput,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,256 KiB/sec,37.5 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,5.60%,2023-02-22 19:34:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,326 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,6.00%,2023-02-22 19:35:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,81.9 KiB/sec,136 KiB/sec,1.7 GiB,17.4 GiB,9.70%,2023-02-22 19:36:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,57.9 KiB/sec,135 KiB/sec,1.7 GiB,17.4 GiB,4.70%,2023-02-22 19:36:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,198 KiB/sec,63.5 KiB/sec,147 KiB/sec,1.7 GiB,17.4 GiB,6.50%,2023-02-22 19:35:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,248 KiB/sec,41.3 KiB/sec,208 KiB/sec,1.6 GiB,13.4 GiB,6.50%,2023-02-22 19:36:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,179 KiB/sec,78.2 KiB/sec,133 KiB/sec,1.7 GiB,17.4 GiB,9.90%,2023-02-22 19:38:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,138 KiB/sec,42.0 KiB/sec,104 KiB/sec,1.6 GiB,17.4 GiB,3.90%,2023-02-22 19:34:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,182 KiB/sec,78.5 KiB/sec,136 KiB/sec,1.7 GiB,17.4 GiB,9.70%,2023-02-22 19:35:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,39.4 KiB/sec,214 KiB/sec,1.6 GiB,13.4 GiB,5.40%,2023-02-22 19:35:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,64.9 KiB/sec,131 KiB/sec,1.6 GiB,17.4 GiB,8.60%,2023-02-22 19:38:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,1.5 MiB/sec,143 KiB/sec,1.6 GiB,17.4 GiB,5.90%,2023-02-22 19:34:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,248 KiB/sec,29.5 MiB/sec,214 KiB/sec,1.7 GiB,14.2 GiB,7.90%,2023-02-22 19:36:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,34.8 KiB/sec,212 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:37:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,40.2 KiB/sec,220 KiB/sec,1.6 GiB,13.4 GiB,6.60%,2023-02-22 19:35:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,256 KiB/sec,44.1 KiB/sec,222 KiB/sec,1.6 GiB,13.4 GiB,6.00%,2023-02-22 19:38:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,28.8 KiB/sec,3.6 KiB/sec,23.4 KiB/sec,1.6 GiB,13.4 GiB,0.70%,2023-02-22 19:39:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,60.3 KiB/sec,142 KiB/sec,1.7 GiB,17.4 GiB,5.40%,2023-02-22 19:36:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,48.8 KiB/sec,220 KiB/sec,1.6 GiB,13.4 GiB,6.80%,2023-02-22 19:34:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,905 KiB/sec,219 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:36:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,40.5 KiB/sec,223 KiB/sec,1.6 GiB,13.4 GiB,5.30%,2023-02-22 19:34:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,47.4 KiB/sec,217 KiB/sec,1.6 GiB,13.4 GiB,6.20%,2023-02-22 19:35:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,262 KiB/sec,1.4 MiB/sec,226 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:37:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,51.2 KiB/sec,134 KiB/sec,1.6 GiB,17.4 GiB,4.90%,2023-02-22 19:38:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,257 KiB/sec,40.0 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,5.20%,2023-02-22 19:39:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,253 KiB/sec,35.5 KiB/sec,212 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:35:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,782 KiB/sec,231 KiB/sec,1.7 GiB,14.2 GiB,8.60%,2023-02-22 19:35:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,1.0 MiB/sec,134 KiB/sec,1.6 GiB,17.4 GiB,4.70%,2023-02-22 19:38:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,96.9 KiB/sec,133 KiB/sec,1.7 GiB,17.4 GiB,9.30%,2023-02-22 19:36:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,39.9 KiB/sec,214 KiB/sec,1.6 GiB,13.4 GiB,5.50%,2023-02-22 19:36:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,260 KiB/sec,37.4 KiB/sec,219 KiB/sec,1.6 GiB,13.4 GiB,5.50%,2023-02-22 19:38:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,78.5 KiB/sec,133 KiB/sec,1.6 GiB,17.4 GiB,11.60%,2023-02-22 19:34:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,199 KiB/sec,29.7 KiB/sec,166 KiB/sec,1.6 GiB,13.4 GiB,4.10%,2023-02-22 19:34:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,2.7 MiB/sec,144 KiB/sec,1.7 GiB,17.4 GiB,5.20%,2023-02-22 19:37:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,288 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,6.10%,2023-02-22 19:37:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,39.8 KiB/sec,228 KiB/sec,1.6 GiB,13.4 GiB,6.10%,2023-02-22 19:38:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,53.9 KiB/sec,138 KiB/sec,1.6 GiB,17.4 GiB,5.90%,2023-02-22 19:34:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,2.7 MiB/sec,137 KiB/sec,1.7 GiB,17.4 GiB,6.00%,2023-02-22 19:37:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,1.6 MiB/sec,135 KiB/sec,1.6 GiB,17.4 GiB,7.80%,2023-02-22 19:39:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,951 KiB/sec,134 KiB/sec,1.6 GiB,17.4 GiB,8.40%,2023-02-22 19:35:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,69.9 KiB/sec,137 KiB/sec,1.6 GiB,17.4 GiB,10.70%,2023-02-22 19:35:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,253 KiB/sec,51.5 KiB/sec,214 KiB/sec,1.6 GiB,13.4 GiB,5.70%,2023-02-22 19:38:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,51.9 KiB/sec,135 KiB/sec,1.7 GiB,17.4 GiB,5.60%,2023-02-22 19:36:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,260 KiB/sec,37.2 KiB/sec,219 KiB/sec,1.6 GiB,13.4 GiB,5.40%,2023-02-22 19:38:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,53.1 KiB/sec,137 KiB/sec,1.7 GiB,17.4 GiB,6.10%,2023-02-22 19:35:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,38.9 KiB/sec,224 KiB/sec,1.6 GiB,13.4 GiB,5.80%,2023-02-22 19:36:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,231 KiB/sec,37.1 KiB/sec,196 KiB/sec,1.6 GiB,13.4 GiB,5.70%,2023-02-22 19:37:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,206 KiB/sec,3.2 MiB/sec,143 KiB/sec,1.7 GiB,17.4 GiB,6.00%,2023-02-22 19:36:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,37.8 KiB/sec,223 KiB/sec,1.6 GiB,13.4 GiB,5.80%,2023-02-22 19:39:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,48.1 KiB/sec,218 KiB/sec,1.6 GiB,13.4 GiB,5.60%,2023-02-22 19:38:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,36.3 KiB/sec,210 KiB/sec,1.6 GiB,13.4 GiB,5.70%,2023-02-22 19:37:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,67.2 KiB/sec,135 KiB/sec,1.7 GiB,17.4 GiB,5.50%,2023-02-22 19:37:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,260 KiB/sec,37.7 KiB/sec,224 KiB/sec,1.6 GiB,13.4 GiB,5.70%,2023-02-22 19:37:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,65.6 KiB/sec,134 KiB/sec,1.7 GiB,17.4 GiB,6.30%,2023-02-22 19:37:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,196 KiB/sec,67.3 KiB/sec,155 KiB/sec,1.6 GiB,17.4 GiB,5.50%,2023-02-22 19:35:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,78.8 KiB/sec,133 KiB/sec,1.7 GiB,17.4 GiB,9.40%,2023-02-22 19:37:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,65.4 KiB/sec,132 KiB/sec,1.6 GiB,17.4 GiB,9.50%,2023-02-22 19:39:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,67.6 KiB/sec,132 KiB/sec,1.7 GiB,17.4 GiB,9.70%,2023-02-22 19:37:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,68.8 KiB/sec,144 KiB/sec,1.6 GiB,17.4 GiB,4.80%,2023-02-22 19:38:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,56.0 KiB/sec,140 KiB/sec,1.6 GiB,17.4 GiB,6.40%,2023-02-22 19:38:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,19.2 KiB/sec,4.4 KiB/sec,14.7 KiB/sec,1.6 GiB,17.4 GiB,0.50%,2023-02-22 19:39:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,35.9 KiB/sec,217 KiB/sec,1.6 GiB,13.4 GiB,6.00%,2023-02-22 19:36:10 +0000 UTC
table_id,node,timestamp,rx_bytes_per_ns,tx_bytes_per_ns,rx_drop_per_ns,tx_drops_per_ns,rx_errors_per_ns,tx_errors_per_ns,time_
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:39:20 +0000 UTC,8.5 KiB/sec,6.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:10 +0000 UTC,30.4 KiB/sec,35.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:39:10 +0000 UTC,203 KiB/sec,36.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:10 +0000 UTC,213 KiB/sec,39.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:30 +0000 UTC,134 KiB/sec,97.5 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:50 +0000 UTC,136 KiB/sec,47.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:50 +0000 UTC,138 KiB/sec,47.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:50 +0000 UTC,30.9 KiB/sec,70.5 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:20 +0000 UTC,126 KiB/sec,37.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:30 +0000 UTC,135 KiB/sec,96.5 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:40 +0000 UTC,257 KiB/sec,36.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:50 +0000 UTC,31.6 KiB/sec,66.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:40 +0000 UTC,29.6 KiB/sec,36.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:39:10 +0000 UTC,29.2 KiB/sec,56.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:00 +0000 UTC,174 KiB/sec,48.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:10 +0000 UTC,29.3 KiB/sec,34.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:10 +0000 UTC,29.3 KiB/sec,42.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:10 +0000 UTC,205 KiB/sec,38.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:40 +0000 UTC,29.6 KiB/sec,50.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:50 +0000 UTC,135 KiB/sec,46.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:50 +0000 UTC
